planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,nameMatched,inheritedSub
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","4000","獎補助費","","","用途別一級","243085","(3)獎補助費243,085千元，補助直轄市、縣市政府及中央政府機關辦理工作如下：<1>形塑優質交安文化：#1.推動各縣市主題性專案交通安全文化。","10","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","4000","獎補助費","4005","對直轄市政府之補助","用途別二級","53900","","","","",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","4000","獎補助費","4010","對各縣市政府之補助","用途別二級","111450","","","","",""
"5829010500","交通運輸規劃及產業發展","973,145","02","道路交通安全","4000","獎補助費","4025","政府機關間之補助","用途別二級","77735","","","","",""
"5829010500","交通運輸規劃及產業發展","973,145","03","汽車燃料使用費經徵管理","","","","","分支計畫","12914","","","","",""
"5829010500","交通運輸規劃及產業發展","973,145","03","汽車燃料使用費經徵管理","2000","業務費","","","用途別一級","12773","1.業務費12,773千元：(1)其他業務租金278千元：影印機租金等。","0","true","",""
"5829010500","交通運輸規劃及產業發展","973,145","03","汽車燃料使用費經徵管理","2000","業務費","2021","其他業務租金","用途別二級","278","1.業務費12,773千元：(1)其他業務租金278千元：影印機租金等。","0","true","",""
"5829010500","交通運輸規劃及產業發展","973,145","03","汽車燃料使用費經徵管理","2000","業務費","2036","按日按件計資酬金","用途別二級","100","(2)按日按件計資酬金100千元：公路運輸與監理政策規劃及法規研修等會議外聘專家學者出席費。","1","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","03","汽車燃料使用費經徵管理","2000","業務費","2039","委辦費","用途別二級","3800","(3)委辦費3,800千元：<1>辦理因應國內電動汽機車發展通盤檢討現行汽車燃料費徵收制度委託研究計畫3,000千元。<2>委託辦理公路監理作業及徵調公路監理機關辦理汽燃費經徵業務、裁罰業務人員及公民營汽車駕訓班專業從業人員研習會等800千元。","2","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","03","汽車燃料使用費經徵管理","2000","業務費","2051","物品","用途別二級","560","(4)物品560千元。","3","","true",""
"5829010500","交通運輸規劃及產業發展","973,145","03","汽車燃料使用費經徵管理","2000","業務費","2054","一般事務費","用途別二級","7955","(5)一般事務費7,955千元：辦理經徵管理業務所需督導考核、公路監理政策規劃及經徵資料管理等費用。","4","","true",""
