planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,nameMatched,descShared,inferred,headcount,inheritedSub,ambiguous,orphan,multiSum,sumMatched
"5251011200","農業科技研究發展","1,750,265","12","農業技術服務","2000","業務費","2036","按日按件計資酬金","用途別二級","170","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","12","農業技術服務","2000","業務費","2051","物品","用途別二級","3106","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","12","農業技術服務","2000","業務費","2069","設施及機械設備養護費","用途別二級","600","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","12","農業技術服務","2000","業務費","2072","國內旅費","用途別二級","110","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","12","農業技術服務","3000","設備及投資","","","用途別一級","2570","2.設備及投資2,570千元，係購置控實驗及檢測數據處理所需之設備。","3","true","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","12","農業技術服務","3000","設備及投資","3020","機械設備費","用途別二級","2170","","","","","","","","","","",""
"5251011200","農業科技研究發展","1,750,265","12","農業技術服務","3000","設備及投資","3030","資訊軟硬體設備費","用途別二級","400","","","","","","","","","","",""
"5651010100","一般行政","694,175","01","人員維持","","","","","分支計畫","595148","","","","","","","","","","",""
"5651010100","一般行政","694,175","01","人員維持","1000","人事費","","","用途別一級","595148","","","","","","","","","","",""
"5651010100","一般行政","694,175","01","人員維持","1000","人事費","1010","政務人員待遇","用途別二級","7280","人數未單獨列示，含於「職員384人」內。","","","","","true","","","","",""
"5651010100","一般行政","694,175","01","人員維持","1000","人事費","1015","法定編制人員待遇","用途別二級","360286","職員384人（含政務人員）。","","","","","true","","","","",""
"5651010100","一般行政","694,175","01","人員維持","1000","人事費","1020","約聘僱人員待遇","用途別二級","21063","聘用人員27人、約僱人員13人。","","","","","true","","","","",""
"5651010100","一般行政","694,175","01","人員維持","1000","人事費","1025","技工及工友待遇","用途別二級","4300","工友1人、技工6人、駕駛3人。","","","","","true","","","","",""
"5651010100","一般行政","694,175","01","人員維持","1000","人事費","1030","獎金","用途別二級","89996","","","","","","","","","","",""
"5651010100","一般行政","694,175","01","人員維持","1000","人事費","1035","其他給與","用途別二級","6976","","","","","","","","","","",""
"5651010100","一般行政","694,175","01","人員維持","1000","人事費","1040","加班費","用途別二級","29598","","","","","","","","","","",""
"5651010100","一般行政","694,175","01","人員維持","1000","人事費","1045","退休退職給付","用途別二級","518","","","","","","","","","","",""
"5651010100","一般行政","694,175","01","人員維持","1000","人事費","1050","退休離職儲金","用途別二級","38689","","","","","","","","","","",""
"5651010100","一般行政","694,175","01","人員維持","1000","人事費","1055","保險","用途別二級","36442","","","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","","","","","分支計畫","94856","","","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","","","用途別一級","90242","1.業務費90,242千元。","2","true","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2003","教育訓練費","用途別二級","2102","(1)員工教育訓練費2,102千元。","3","true","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2006","水電費","用途別二級","10431","(2)水電費10,431千元。","4","true","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2009","通訊費","用途別二級","5533","(3)郵資、電信費及數據通信費等5,533千元。","5","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2018","資訊服務費","用途別二級","5180","(4)雲端版文書檔案管理資訊系統、薪資管理、財產管理、圖書室自動化及館藏查詢系統維護等5,180千元。","6","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2021","其他業務租金","用途別二級","3367","(5)租用影印機、監控錄影設備及電話交換機等租金3,367千元。","7","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2024","稅捐及規費","用途別二級","498","(6)公務車輛牌照稅、燃料使用費及檢驗規費等498千元。","8","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2027","保險費","用途別二級","659","(7)廉政志工保險、辦公廳舍及公務車輛保險等659千元。","9","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2030","兼職費","用途別二級","240","(8)本部顧問兼職費240千元。","10","true","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2033","約用人員酬金","用途別二級","8027","(9)遴用約用人員協辦行政庶務、人事業務及計畫經費資料登錄建置等8,027千元。","11","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2036","按日按件計資酬金","用途別二級","1279","(10)辦理各項講習訓練之講師鐘點費；採購評選案件、採購稽核小組外聘委員出席費等1,279千元。","12","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2051","物品","用途別二級","4644","(11)購置檔案保存用品、電腦用紙、議事耗材、文具、清潔衛生用品、報章雜誌及油料等4,644千元。","13","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2054","一般事務費","用途別二級","39913","(12)文康活動費，各項活動獎牌製作，環境佈置及清潔，編印年度預、決算書，辦理推展廉政志工業務，各項講習訓練，加強本部及所屬機關出版品管理、登錄，文檔清查整理登錄搬移，公文書遞送、移交移轉、銷毀，文書繕打與員工所得稅務及異動資料登錄，消防及公共安全檢查，保全警衛勤務等39,313千元；員工協助方案相關經費600千元，合共39,913千元。","14","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2063","房屋建築養護費","用途別二級","2000","(13)辦公廳舍及宿舍修繕費2,000千元。","15","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2066","器具養護費","用途別二級","975","(14)公務車輛及辦公器具養護費等975千元。","16","true","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2069","設施及機械設備養護費","用途別二級","2586","(15)辦公大樓空調及室內空氣品質維護、會議設備、高低壓電氣設備、消防設備、電梯等設備維修，戶外停車場、排水溝、圍牆、路面整修及環境綠美化、機械設施維護及和平辦公大樓庫房管理維護等2,586千元。","17","","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2072","國內旅費","用途別二級","1262","(16)國內旅費1,262千元。","18","true","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2081","運費","用途別二級","127","(17)公物搬遷、運輸、裝卸等運費127千元。","19","true","","","","","","","",""
"5651010100","一般行政","694,175","02","基本行政工作維持","2000","業務費","2084","短程車資","用途別二級","240","(18)短程洽公所需車資240千元。","20","","","true","","","","","",""
