planCode,planName,planBudget,branchCode,branchName,l1Code,l1Name,l2Code,l2Name,level,amount,desc,descIdx,descShared,headcount,nameMatched,sumMatched,inheritedSub,orphan,multiSum,inferred,ambiguous
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","未歸戶說明","","1.精進教育人事制度、法規，辦理人員訓練、研習等經費16,869千元（人事處），包括：(1)本部暨所屬機關（構）學校人事人員訓練、本部人員業務研習等經費11,392千元，其中：<1>為提高本部人員暨所屬機關（構）學校人事人員素質，增進行政效能，規劃辦理本部人員研習、本部暨所屬機關（構）學校人事人員訓練及辦理人事資訊系統應用推廣與種子教師培訓計畫所需協助人力等經費4,148千元。<2>補助本部人員參加國內外進修費用800千元。<3>依據公務人員訓練進修法規定，提供本部暨所屬機關（構）公務人員終身學習之機會，辦理學者專家專題演講、創新觀摩會議、標竿學習、環境教育，性別平權及人權法治觀念推廣等經費531千元。<4>因應環境變遷，精進教育人事制度及實務，持續檢討現行教育人員進用、兼職、獎懲、請假及退撫待遇等規範，盤點相關應配合修正之法規，召開研討會、學者專家諮詢會、委請相關單位進行政策評估及相關教育訓練等經費5,913千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","未歸戶說明","","(2)為輔導私立學校建立人事制度，辦理私立學校人事人員業務講習會等經費700千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","未歸戶說明","","(3)為增進人事業務意見交流，輔導部屬機關（構）學校人事法制，辦理人事主管會報及人事人員業務研習會等經費463千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","未歸戶說明","","(4)為增進同仁身心健康，辦理本部員工健康檢查費1,501千元及員工協助方案經費618千元，合共2,119千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","未歸戶說明","","(5)辦理大學校長聯合交接、新設立之國立大學首任校長遴選及國立專科學校新任校長遴選相關費用300千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","未歸戶說明","","(6)模範公務人員獎金950千元，以及舉行頒獎典禮相關費用約150千元，合共1,100千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","未歸戶說明","","(7)製作本部與所屬機關（構）學校及私立學校服務獎章等經費690千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","","","","","未歸戶說明","","(8)辦理本部優秀員工頒獎典禮及製作獎牌等經費105千元。","","","","","","","true","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","2000","業務費","","","用途別一級","23870","","","","","","","","","","",""
"5120010100","一般行政","1,620,528","04","人事行政管理與財務輔導","2000","業務費","2003","教育訓練費","用途別二級","1185","","","","","","","","","","",""
